你和山田君处的怎么样了？|山田君とどうしたの？
感觉姬野你没怎么变啊|姫野さんは、なんかあまり変わらないね
是么？|そうかな？
国见君倒是变了呢|國見君は変わったよね
诶|え
长高了|背伸びたし
姬野踮起脚尖，像是在量我的升高一样，把手伸向了额头。|姫野さんは背伸びをして、俺の身長をはかろうとするように、額に手をかざす。
那当然是会长高的|そりゃぁね
帅得我都差点不认识了|かっこよくて見違えちゃったよ
……|……
说说而已。啊，我说什么奇怪的话了么|なんて。あ、なんか変なこと言ったかな
变帅了什么的，像这种亲戚家的奶奶说的话，同级生之间一般是不会说的|かっこよくなったねとか、親戚のおばちゃんみたいなこと、同級生に普通言わないよ
啊呜。原来我被当成亲戚家的老奶奶了啊|あう。親戚のおばちゃんと思われたんだ、私
倒不是这样|そういうわけじゃないけど
小洸变帅气了的感觉|こうちゃんは、かっこよくなったげなぁ
变帅了的感觉？什么啊那是，哪里的腔调？|なったげなぁ？なにそれ、どこ弁？
是姬野腔哦|姫野弁だよ？
能见到你真开心的感觉⑨|会えてうれしげなぁ♪
……|……
好可爱……|かわいい……
但是，我可不会上钩。|けど、俺は惑わされない。
姬野虽然不是小恶魔系，但也不是那么好搞定的。|姫野さんは、小悪魔ってわけじゃないんだけど、そうそうちょろくもない。
虽然看上去是很好对付就是了。|ちょろそうに、見えるけどっ。
紧张……|ぎり……
怎，怎么了？为什么要这么警戒？|な、なにかな？なんで、そんなに身構えてるの？
不……嗯。没什么|いや……うん。なんでもない
回教室去吧。顺带一提不是那边是这边|教室行こうか。ちなみにそっちじゃなくてあっちだよ
哇。搞错了。拜托你带带路|わぁ。間違えてた。案内お願い
慌忙转了方向的姬野像是抓住救命稻草一样抓住了我的手臂。|慌てて方向転換する姫野さんが、すがりつくように俺の腕をつかんだ。
诶|え
我猛地转向了姬野。|俺はぎょっとして、姫野さんを振り返った。
啊，抱歉，一不小心就|あ、っとごめん、つい
姬野回过神来注意到后放开了我的手。|はっと、気づいて姫野さんは俺から手を離す。
抱歉哦|ごめんね？
因为坏了事而变得通红的那张脸该怎么说呢……|しまったと真っ赤になった顔が何というか……
……|……
我可是不会着你的道的。|俺は惑わされないぞっ。
到了放学后。|放課後になった。
总感觉新学期第一天真是不可思议。只能以不可思议来形容了。|なんだか、不思議な新学期初日だった。不思議としか言いようが無い。
姬野我行我素，新堂又一直都闷闷不乐。|姫野さんはマイペースだし、新堂は終始不機嫌だし。
我夹在她们俩正中间，度过了一天……就是这种感觉。|その真ん中で、俺は一日をやり過ごした……という感じだ。
关于今后的社团活动，就按照之前所属的社团参加|今後のクラブ活動だが、今まで通りに所定のクラブの場所で行うように
班主任|担任
在一个月后的迎新祭之前，都是新生体验入部的时间段。应该会有一年级学生去造访各个社团。希望各社团部长做好应对……|一ヶ月後の歓迎祭までは、新入生の仮入部期間だ。一年生が訪ねてくることがあると思う。各クラブの部長は、対応を……
班主任|担任
是么。体验入部也是从今天开始的啊。|そうか。今日から仮入部もはじまるんだ。
不去社团露个脸可不行。|じゃぁ、クラブに顔を出さないと。
志乃也去社团？|志乃もクラブ？
我们那边今天就要赶早和统合过来的各位一起练习了。我已经饥渴难耐了|うちは今日から早速、統合組の皆さんと合同練習だよ。腕がなるねぇ
凉介你的社团呢，要怎么办？|涼介のクラブは、どうなるんだ？
统合的事？|統合の話？
电影研究会其他学校好像没有。大概没多大变化吧|映画研究会は、他の学園にはなかったみたいだから。そんなかわらないかな
这可真是令人羡慕|それはうらやましい
但是，因为没有活动室，还是有可能被统合的。毕竟我们这说到底还是个小众社团|ただ、部室がなくてあぶれてるところと、統合させられるかもって言ってたな。うちもしょせん零細クラブだから
嘛，我倒是无所谓|まぁ、俺はなんでもいいけど
……|……
似乎真的无所谓。|どうでもよさそうだった。
大家好像都去各自的社团了。|それぞれ部活に散っていくようだ。
我也去露个脸吧。|俺も、顔を出しておくかな。
……|……
话说回来姬野要怎么办呢。|そういや姫野さんはどうするんだろう。
一看发现姬野正睁大眼睛瞅着放学后各有去处的学生们。|見れば、姫野さんは放課後めいめい散らばっていく生徒達を見ながら、目をぱちくりとさせていた。
之后会发生什么呢？她一脸这样的表情。|この後は何がはじまるんだろう？という顔だ。
虽然因为这是统合后的第一天而被众人遗忘了，但她是转学生啊。|統合初日ということで、忘れられているけど、転校生なんだよな。
班长忙于其他工作，似乎也没有空去管姬野。|委員長は他の作業で忙しくて、姫野さんのことを気にする余裕もなさそうだし。
毕竟她还没有习惯这里，带她参观会不会比较好。|慣れてないし、学園を案内してあげたほうがいいのかな。
不过，这些都是爱管闲事的女生该做的吧。|でも、そういうのはおせっかいな女子の役目だよな。
由我去说的话，会有点奇怪啊……|俺が言ったら、変だよな……
不，但是……|いや、でも……
提出带她参观|案内を申し出る
还是算了|やめておく
姬野同学！如果不嫌弃的话，我带你去参观一下学校吧。毕竟你是转学过来的！|姫野さん！もしよかったら、学園とか案内しようか。だって君は、転校生なんだから！
诶……|え……
……诶。|……え。
姬野不知去了哪里。|姫野さんは、どこかに行っていた。
多——|よ──
多管闲事啊。参观什么的。话说，你刚才是不是叫姬野同学什么的！？|余計なお世話よ。案内なんかっ。というか、今、姫野さんとか言わなかった！？
新堂！？你为什么在这儿|新堂！？なんでそこにいるっ
我就坐你旁边，当然在啊|隣の席ですから。いますよ、そりゃ
抱歉啊我在这里。抱歉啊我是新堂|いてごめんなさいねっ。新堂でごめんなさいね
但我说不定是新堂的分身|けど、新堂のドッペルゲンガーかもしれないよっ
她站起身把椅子弄出很大动静，转身就走。|大きく椅子を鳴らして立ち上がり、去って行く。
……|……
正以为她要离开，她却转过身来……又踏着噔噔的脚步声走了过来。|と思ったら、くるりと振り返り……またずんずんと、足を鳴らしながら、こちらにやってくる。
怎怎怎、怎么了。她看起来情绪不大稳定。|ななな、なんだ。情緒が、不安定でいらっしゃる。
还是算了。肯定会有爱管闲事的女生去找她搭话的吧。|まぁいいか。おせっかいな女子がきっと声をかけてるよな。
说到底，姬野不是已经不见了么。|そもそも姫野さん、もういなくなってるじゃないか。
嗯……？|ん……？
……|……
一看发现新堂站在教室门口。还瞪着这边。|見れば、教室の入り口に新堂が立っている。こちらをにらみながら。
她踏着噔噔的脚步声走了过来。|ずんずんと、足を鳴らしながら、こちらにやってくる。
怎怎怎、怎么了。她看起来情绪不太稳定。|ななな、なんだ。情緒が、不安定でいらっしゃる。
怎、怎么？|な、なに？
～～～～～|～～～～～
脸涨得通红的新堂走到我跟前，瞪着我。|目の前までくると、新堂は上気して真っ赤になった顔で、俺をにらみつけている。
你怎么了啊|どうしたんだよ
……|……
好……|ひ……
好？|ひ？
什么，她准备说什么。|なんだ、何を言おうとしている。
看她好像心里各种不爽，感觉要是这种时候我能想办法猜透她的心思，应该能加很多分。|いろいろとご立腹みたいだし、ここで俺が、なんとか意思をくみ取ることが出来たら、加点は大きいと思うんだけどな。
无奈的是，现在的新堂在想些什么完全是个谜。|いかんせん、今の新堂は、何を考えているのか謎だ。
好……|ひ……
好久不见|久しぶりだね
……诶。|……え。
那句话用的是，与今天一天中的新堂完全不搭调的，柔弱的声音。|それはなんか、今日一日の新堂にはあまりに不釣り合いな、弱々しい、声で。
我像是受到了偷袭一样，全身紧张了起来。|俺は不意を衝かれたみたいに、ぎくりとしてしまった。
……那个|……あの
……|……
好、好久不见|ひ、久しぶり
我只是想说这一句而已……抱歉|それが言いたかっただけだから……ごめん
嗯|はい
新堂就这样，以像机器人一样机械的动作离开了。|そのまま新堂は、ロボットみたいにかくかくとした動きで、去って行く。
……|……
我只得呆然地看着她的背影。|俺はその後ろ姿を呆然と眺めるしかなかった。
出了校舍，走向校区北部。|いったん校舎を出て、学園敷地の北に向かう。
从体育馆传来了篮球咚咚敲地的声音，同时还有呼号声响起。|体育館からは、ダンダンとボールがはねる音、それにかけ声が、響いてくる。
运动社团似乎从第一天开始就很忙碌。|初日から運動部は、忙しそうだ。
小洸，去社团么？|こうちゃん、クラブ活動かい？
志乃啊。算是吧|志乃。まぁね
要来和大姐姐一起稍微挥洒一下汗水么|ちょっと、おねーさんと汗をかいていかないかい？
啥？|ええ？
会给你特别服务的哦|サービスしますよ
你、你说什么|な、なんだと
特别服务？该怎么办。|サービス？どうしよう。
去挥洒汗水|汗をかいていく
不约|遠慮する
那就去挥洒一下汗水吧|じゃぁ汗かいていこうかな
不愧是小洸。那就来这边吧|さっすが、こうちゃん。それじゃぁ、こっちだ
喂、喂。那边不是体育仓库么。……到底是要……|お、おい。そっちは体育倉庫じゃないか。……一体何を……
哈，哈……哈……|はぁ、はぁ……はぁ……
很厉害。|すごかった。
小洸平时老是窝在房间里看书，所以偶尔也得出出汗才行|こうちゃんは、いつも部屋にこもって本ばっかり書いてるんだから、汗もかかないとね
姑且……算是吧|まぁ……そうだな
真的很厉害。|本当にすごかった。
那、那我就先走了|じゃ、じゃぁな。俺は行くよ
回头见咯~|じゃぁね～
容、容我拒绝……|え、遠慮する……
真的么？会后悔的哦？|ほんとに？後悔するよ？
无所谓|いい
你该不会是想着什么“反正之后读档重来就是了”。那种人志乃不喜欢哦|どうせ、あとでロードしたらいいとか、思ってないよね。そういうの、志乃、嫌いだな
什么啊那是。别突然自称志乃|なんだそれ。いきなり志乃とか言うな
总之不用了|とにかくいらん
不过也好。今天就放过你吧。哼哼哼|まぁいいだろう。今日は見逃してやろう。くくく
志乃用力挥了挥手后便离开了。|びしっと手をあげて、志乃は去って行く。
……|……
她到底是想让我干什么啊。|一体何をさせようとしていたんだろう。
A_02|A_02
在校内的东北角，建着一栋不起眼的木结构校舍。|学園敷地内の、北東のすみっこにひっそりと木造校舎が建っている。
那是很久以前，在建校时作为主校舍所使用的。|大昔、学園の創立時には本校舎として使われていたものだ。
学校随着学生数量的增加经历过好几次改建，不再被用作校舍的这栋楼现在被用作几个文化社团的社团教学楼。|生徒が増えて何度かの改修をへて、校舎として使われなくなって、今ではいくつかの文化部が所属するクラブ棟として利用されている。
话虽如此，建筑的老化程度也已经相当严重，据说差不多应该要拆除了。|とはいえ、もうかなり老朽化も進んでおり、そろそろ取り壊そうかという話も出ているらしい。
踩着会咯吱咯吱响的，老旧的木质走廊。|踏めばぎしぎしと音を鳴らす、古い木造の廊下。
从两侧的教室中，传出了活动进行的喧闹声。|両脇に並んだ教室からは、がやがやと、活動の気配が響いてくる。
这有电影研究会，摄影部，手艺部……美术部等等。简单来说，就是主要用作文系社团的活动楼。|映画研究会であるとか、写真部、手芸部…美術部。要するに、文系クラブの部活棟として主に活用されているわけだ。
活动室的门上垂着古旧的看板，上面不知是谁用字迹工整却写得很小的字这么写着。|部室の扉には、古ぼけた看板がたれており、どこかの誰かの達筆だけど控えめな字でこう書かれている。
『文艺部』|『文芸部』
没有其他人来活动室。|部室には、誰も来ていなかった。
其他人尽是幽灵部员。|他は幽霊部員ばかりなのだ。
说到底在进入今年后，就没有任何一人出现过。|そもそも今年に入ってから、誰一人姿を見たことなんてない。
结果，一直都是我一个人在这里读书写小说……但我最喜欢的还是在这里发呆。|結局、いつも俺一人が、本を読んだり小説を書いたり……でもここでぼんやりしているのが好きだった。
虽然现在根本看不出来，但这个学校的文艺部，可是以前出过好几个著名作家的，颇有些历史的社团。|今では見るかげもないが、学園の文芸部は、過去に著名な作家を何人か輩出しているそれなりに歴史のあるクラブだ。
书架上摆着各种各样的名著，像旧书店一样，空气中飘荡着上了年纪的书的味道。|本棚には様々な名著が並び、古本屋のように、年代ものの本の臭いが漂っている。
在那之中，也有这个社团的OB写的书。（润注：以防万一还是注一下，OB指已毕业的学生）|その中には、このクラブのＯＢの書籍だって混じっているのだ。
我并不是个深度的好读者。|自分はたいした読書家というわけではない。
要是被问到是否喜欢书，我是有点困惑的。|本が好きかと言われると、戸惑いがある。
因为肯定有比我更喜欢书的人。|きっともっと好きな人はいるだろうから。
但是，一本书里就装着一个世界……将其放入口袋，想看的时候，就能哗啦翻开一页。|でも、一冊の本にひとつの世界が詰まっていて……ポケットにそれを入れて、好きなときに、はらりと、ページを開くことが出来る。
作为那种工具的这个层面来说，我果然还是喜欢书的吧？|そういうツールとして、本が、やっぱり好きなのかな？
其实……说简单点，就是比起读更喜欢写。|本当は……要するに、読むよりも書くことが好きだったから。
好了，该怎么办呢。|さて、どうしよう。
没什么事好做，但说不定会有人过来参观……也不好离开。|やることはないけど、仮入部に現れるかもしれないし……場を離れるわけにもいかない。
唔～嗯……|うーん……
总是发呆也不是办法，于是便开始面对现在写着的小说。|ぼんやりしていてもしょうがないので、今書いている小説に向かいあう。
拿出记点子的本子思考故事的展开，但一点进展都没有。|ネタ帳を出して、展開を考えるが、もう一つ進まない。
从走廊传来了其他社团的喧闹声，但我们社团却像是被隔绝开了一样，一片寂静。|廊下では他のクラブががやがやしているけど、うちは隔絶されてるみたいに、静かだ。
虽然今天开始就有一年级学生来体验入部也不奇怪……但一点有人要来的迹象都没有。|今日から一年生が仮入部に来てもおかしくないんだけど……一向に現れる様子もない。
太阳也差不多要沉向西边的天空了。|そろそろ、西の空に、日も沈んでいこうとしていた。
……|……
回去吧。|帰ろう。
哟|よう
凉介……|涼介……
有人去你那边体验入部么？我这边是零|仮入部は来た？うちはゼロだった
我这边也没人来。感觉，新生是不是有点害怕靠近这个旧校舍啊|うちも来なかったなー。なんか、この旧校舎、新入生が近寄るにはちょっと、怖いんじゃないかな
涼介|涼介
有这回事么|そういうもんかな
从在御影浜上学的时候开始，就觉得这栋校舍在整个学校里显得有些异类。|御影浜の頃から、この校舎は敷地の中でもちょっと異質だった。
以前我都觉得，那里是御影之丘的前辈们聚集到一起做可疑的事的地方。|御影ヶ丘の先輩達がたむろしてあやしげなことをしている場所らしい、なんてイメージがあったものだ。
也许是不会有人会突然冒出造访此地的想法。|いきなり訪ねてみようという気にはならないのかもしれない。
习惯了倒是感觉挺不错的。|慣れると居心地いいんだけどなぁ。
我说|なぁ
你和姬野是什么关系？|姫野さんと、どういう関係？
涼介|涼介
……诶。为什么问这个|……え。なんで
因为总感觉你从来没有这样坐立不安过。在姬野面前|なんか、いつになく、そわそわしてるから。姫野さんの前だと
没啊|別に。なんでも
嚯——|ふーん
涼介|涼介
咦。说曹操曹操就……|あれ。噂をすれば……
透过窗子看到姬野在旧校舍外晃晃悠悠地走着。|旧校舎の外を姫野さんがふらふらと歩くのが窓越しに見えた。
抱歉。失陪一下|ごめん。俺ちょっと
说着我丢下凉介跑了出去。|言って、俺は涼介をおいて駆け出す。
……|……
慢慢来吧。今年也。呼啊……|のんびりいこうよな。今年も。ふぁ……
我小跑着追向了消失在对面的背影。|向こう側に消えた背中を追いかけて、俺は小走りに駆ける。
在追着悠然迈步的背影的同时，感觉到了自己的心脏越跳越猛。|のんびりと歩くその背中を追いかけながら、胸が、高鳴っていくのを感じていた。
姬野|姫野さん
嗯？|うん？
啊，洸太郎君|あ、洸太郎君
准备回家？|今、帰り？
嗯|うん
曾几何时，我也曾这样发现她，喊着她的名字追上她来着。|いつかの日も、こうして彼女を見つけて、名前を呼びながら追いかけたっけ。
那时的我，是带着更加更加切实的心意，喊出她的名字的吧。|あの頃の俺は、もっともっと、切実な思いを込めて、名前を呼んでいたっけ。
姬野她……在途中停了下来，呆然地看着旧校舍的一角。|姫野さんは……途中で立ち止まり、ぼんやりと旧校舎の一角を眺めていた。
你在做什么啊，姬野|なにやってるの、姫野さん
哇！|わぁ！
国见君？？噢噢，吓我一跳|國見君？？おお、驚いたよ
不好意思，突然叫住你。你刚才在做什么？|ごめんよ。急に声をかけて。何してたの？
嗯，我是觉得这座校舍很有气氛，想进去参观的|うん、なんか雰囲気ある校舎だなぁって、見学させてもらってたんだ
国见君也是来参观的？|國見君も見学？
我不是。到了现在不会到处乱转悠了|俺は違うよ。今更、ぶらぶらしないよ
那是在这里做什么呢？|じゃあどうしてるの？
我……有加入社团|俺は……クラブに入ってるから
社团是？|クラブって？
文艺部|文芸部
……诶|……え
文艺是……写小说之类的么|文芸って……小説書いたりするのかな
算是吧，也就是读读写写|いや、まぁ読んだり、書いたり
嘿嘿～。国见君成为小说家了呢|へぇへぇ。國見君小説家になったんだねぇ
不是啊。依样画葫芦而已|違うよ。ただのまねごとみたいなこと
就算这样也很厉害啊|それでもすごいよ
有么……|そうかな……
……|……
……|……
总感觉今天一天都手忙脚乱的……像这样和姬野面对面，好像还是第一次。|なんだか、一日慌ただしくて……こうして、姫野さんと向かい会うのは、はじめてな気がする。
毫不客气地盯着别人的，圆圆的大眼睛。|くりくりと遠慮なく人の目を見る、大きな瞳。
稍微稍微有点卷曲的，透着点茶色的长发。|ちょっとだけクセのある、茶色がかった長い髪。
时隔五年，她自然也长高了不少显得成熟许多，但感觉她给人的印象本身基本没有变。|五年ぶりで、もちろん背ものびて十分大人びてるんだけど、印象そのものはほとんど変わらない気がする。
套在校服上的对襟毛衣很孩子气，可能就是因为这个，才更让我觉得她没有什么变化吧。|制服の上から羽織っているカーディガンが子どもっぽくて、そのせいで、いっそう変わらない印象を持つんだろう。
……|……
今天一天我看着你想到|今日一日見てて思ったんだけどさ
噢噢？原来今天被观察了一天呢|おお？今日一日、観察されてたんだね
倒、倒说不上是观察……|か、観察ってほどじゃないけど……
不，好像看的次数是相当多吧。|いや、けっこう見てはいたかな。
姬野，你没怎么变啊|姫野さん、あまり、変わらないね
是、是么。就算看起来这样，我也是长大了的哦|そ、そうかな。これでも大きくなったんだよ？
姬野说着微微挺起了胸。|そう言って、姫野さんは少しだけ胸を張ってみせる。
诶……|え……
不，不是，虽然的确如此。但你这样强调我也……很困扰|い、いや、それは、そうだろうけど。そんなこと主張されても……困る
这不是眼睛都找不到地方放了么。真是的。|目のやり場に困るじゃないか。まったく。
诶……|へ……
姬野来回看着不时瞥向她的视线和自己得意地挺着的胸，眼见着她的脸就红了起来。|ちらちらと向けられる俺の視線と、えっへんと張った胸元を見比べながら、姫野さんの顔はみるみる赤くなった。
等，我说长大了，是说的身高哦。你、你在说什么啊，国见君|ちょ、大きくなったって、背のこと言ったんだよ。な、なんの話をしてるのかな、國見君
你你你你、你以为我是在说胸部了吧|おおおお、おっぱいのことと思ったでしょう
诶、诶诶。不是么|え、ええ。違うの
才不是！|違うよ！
不，但是，你不是挺着胸在说变大了么|いやだって、大きくなったんだよって、胸をはって言うから
才不会特意去强调这个啦。又没大到值得一提的地步。不对，你都让我说了些什么啊——|わざわざそんなこと主張しないよっ。言うほどおっきくなってないしって何言わせるのー
真是的……国见君你似乎稍微变H了一点呢|まったく……そういう國見君は、少しエッチになったみたいだね
不，所以说，刚才那是……|いやだから、さっきのは……
……|……
噗|ぷ
哈哈|はは
……回家吧。你家在哪儿？|……帰ろうか。家はどの辺？
那个……是在，星咏台公园附近|えっとね……星詠台公園の、近く
也就是说跟以前住在同一个家里？|それって、昔住んでたところと同じ家？
没错没错。就是这样|そうそう。そうだよ
是么。那方向是一样的啊|そっか。じゃぁ方向同じだな
第一天结束～|一日目終わりぃ
好开心啊|楽しかったなぁ
不过，真是在麻烦的时候转学过来了啊|でも、大変な時に転校してきたよね
你说的是三校统合吧。很厉害呢。明明想了很多作为转学生的问候之类的东西，但发现完全没有那样去打招呼的机会啊|三校統合でしょ。すごいねぇ。転校生としての挨拶とかいろいろ考えたのに、それどころじゃなかったよ
